period,period_no,variable,value,trt
jul_2018_aug_2018,1,asheville,65,0
aug_2018_sep_2018,2,asheville,59,0
sep_2018_oct_2018,3,asheville,70,0
oct_2018_nov_2018,4,asheville,85,0
nov_2018_dec_2018,5,asheville,68,0
dec_2018_jan_2019,6,asheville,84,0
jan_2019_feb_2019,7,asheville,38,0
feb_2019_mar_2019,8,asheville,79,0
mar_2019_apr_2019,9,asheville,59,0
apr_2019_may_2019,10,asheville,76,0
may_2019_jun_2019,11,asheville,87,0
jul_2018_aug_2018,1,boston,510,0
aug_2018_sep_2018,2,boston,492,0
sep_2018_oct_2018,3,boston,356,0
oct_2018_nov_2018,4,boston,396,0
nov_2018_dec_2018,5,boston,527,0
dec_2018_jan_2019,6,boston,430,0
jan_2019_feb_2019,7,boston,331,1
feb_2019_mar_2019,8,boston,359,1
mar_2019_apr_2019,9,boston,433,1
apr_2019_may_2019,10,boston,398,1
may_2019_jun_2019,11,boston,431,1
jul_2018_aug_2018,1,chicago,708,0
aug_2018_sep_2018,2,chicago,467,0
sep_2018_oct_2018,3,chicago,719,0
oct_2018_nov_2018,4,chicago,887,0
nov_2018_dec_2018,5,chicago,671,0
dec_2018_jan_2019,6,chicago,579,0
jan_2019_feb_2019,7,chicago,385,0
feb_2019_mar_2019,8,chicago,496,0
mar_2019_apr_2019,9,chicago,553,0
apr_2019_may_2019,10,chicago,554,0
may_2019_jun_2019,11,chicago,468,0
jul_2018_aug_2018,1,dc,431,0
aug_2018_sep_2018,2,dc,401,0
sep_2018_oct_2018,3,dc,412,0
oct_2018_nov_2018,4,dc,399,0
nov_2018_dec_2018,5,dc,825,0
dec_2018_jan_2019,6,dc,499,0
jan_2019_feb_2019,7,dc,311,0
feb_2019_mar_2019,8,dc,423,0
mar_2019_apr_2019,9,dc,568,0
apr_2019_may_2019,10,dc,497,0
may_2019_jun_2019,11,dc,359,0
jul_2018_aug_2018,1,denver,260,0
aug_2018_sep_2018,2,denver,320,0
sep_2018_oct_2018,3,denver,335,0
oct_2018_nov_2018,4,denver,377,0
nov_2018_dec_2018,5,denver,495,0
dec_2018_jan_2019,6,denver,720,0
jan_2019_feb_2019,7,denver,226,0
feb_2019_mar_2019,8,denver,496,0
mar_2019_apr_2019,9,denver,331,0
apr_2019_may_2019,10,denver,383,0
may_2019_jun_2019,11,denver,433,0
jul_2018_aug_2018,1,montreal,1791,0
aug_2018_sep_2018,2,montreal,1903,0
sep_2018_oct_2018,3,montreal,1330,0
oct_2018_nov_2018,4,montreal,1105,0
nov_2018_dec_2018,5,montreal,903,0
dec_2018_jan_2019,6,montreal,1469,0
jan_2019_feb_2019,7,montreal,914,0
feb_2019_mar_2019,8,montreal,1090,0
mar_2019_apr_2019,9,montreal,1233,0
apr_2019_may_2019,10,montreal,1394,0
may_2019_jun_2019,11,montreal,1245,0
jul_2018_aug_2018,1,nashville,283,0
aug_2018_sep_2018,2,nashville,284,0
sep_2018_oct_2018,3,nashville,262,0
oct_2018_nov_2018,4,nashville,368,0
nov_2018_dec_2018,5,nashville,416,0
dec_2018_jan_2019,6,nashville,417,0
jan_2019_feb_2019,7,nashville,263,0
feb_2019_mar_2019,8,nashville,320,0
mar_2019_apr_2019,9,nashville,338,0
apr_2019_may_2019,10,nashville,292,0
may_2019_jun_2019,11,nashville,401,0
jul_2018_aug_2018,1,quebec,266,0
aug_2018_sep_2018,2,quebec,286,0
sep_2018_oct_2018,3,quebec,186,0
oct_2018_nov_2018,4,quebec,186,0
nov_2018_dec_2018,5,quebec,149,0
dec_2018_jan_2019,6,quebec,257,0
jan_2019_feb_2019,7,quebec,158,0
feb_2019_mar_2019,8,quebec,220,0
mar_2019_apr_2019,9,quebec,224,0
apr_2019_may_2019,10,quebec,219,0
may_2019_jun_2019,11,quebec,210,0
jul_2018_aug_2018,1,sf,192,0
aug_2018_sep_2018,2,sf,649,0
sep_2018_oct_2018,3,sf,243,0
oct_2018_nov_2018,4,sf,313,0
nov_2018_dec_2018,5,sf,526,0
dec_2018_jan_2019,6,sf,342,0
jan_2019_feb_2019,7,sf,384,0
feb_2019_mar_2019,8,sf,572,0
mar_2019_apr_2019,9,sf,372,0
apr_2019_may_2019,10,sf,344,0
may_2019_jun_2019,11,sf,327,0
jul_2018_aug_2018,1,tc,266,0
aug_2018_sep_2018,2,tc,279,0
sep_2018_oct_2018,3,tc,179,0
oct_2018_nov_2018,4,tc,288,0
nov_2018_dec_2018,5,tc,698,0
dec_2018_jan_2019,6,tc,237,0
jan_2019_feb_2019,7,tc,179,0
feb_2019_mar_2019,8,tc,256,0
mar_2019_apr_2019,9,tc,299,0
apr_2019_may_2019,10,tc,360,0
may_2019_jun_2019,11,tc,258,0
