price,nights,unit,dates,asheville,boston,chicago,dc,denver,montreal,nashville,quebec,sf,tc,period_no,nights_diff,trt,nights_per_period
245.73387096774192,248.0,asheville,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,25,0,9.92
149.67027027027027,185.0,asheville,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,25,0,7.4
257.19217081850536,281.0,asheville,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,31,0,9.064516129032258
250.13541666666666,384.0,asheville,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,34,0,11.294117647058824
226.88076923076923,520.0,asheville,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,26,0,20.0
210.0767306088407,2398.0,asheville,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,21,0,114.19047619047619
180.5493273542601,6244.0,asheville,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,36,0,173.44444444444446
172.96893353941266,6470.0,asheville,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,29,0,223.10344827586206
161.6779857022708,9512.0,asheville,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,33,0,288.24242424242425
146.08400452639287,15023.0,asheville,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,31,0,484.61290322580646
244.5818181818182,275.0,boston,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,30,0,9.166666666666666
283.05082742316785,1692.0,boston,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,28,0,60.42857142857143
342.7912371134021,776.0,boston,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,27,0,28.74074074074074
310.35645472061657,1557.0,boston,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,37,0,42.08108108108108
261.86560975609757,4100.0,boston,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,26,0,157.69230769230768
251.78285391990977,5319.0,boston,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,1,231.2608695652174
228.27497239233008,9961.0,boston,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,31,1,321.3225806451613
223.20447674792564,15547.0,boston,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,1,457.2647058823529
228.89140393424952,18555.0,boston,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,34,1,545.7352941176471
241.76429043239673,19681.0,boston,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,26,1,756.9615384615385
0.0,0.0,chicago,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,30,0,0.0
0.0,0.0,chicago,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,28,0,0.0
333.78139534883724,430.0,chicago,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,27,0,15.925925925925926
249.15356711003628,1654.0,chicago,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,35,0,47.25714285714286
215.7371756185878,3314.0,chicago,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,28,0,118.35714285714286
221.5322445561139,7164.0,chicago,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,311.4782608695652
211.16939824614454,16535.0,chicago,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,31,0,533.3870967741935
184.66096764087186,22343.0,chicago,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,657.1470588235294
187.4858572253223,25985.0,chicago,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,34,0,764.2647058823529
174.28772171517136,29035.0,chicago,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,26,0,1116.7307692307693
157.6701030927835,485.0,dc,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,31,0,15.64516129032258
178.9517543859649,1596.0,dc,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,27,0,59.111111111111114
174.38917525773195,388.0,dc,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,13.857142857142858
194.56713426853707,998.0,dc,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,34,0,29.352941176470587
226.78638184245662,1498.0,dc,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,28,0,53.5
176.35564082885648,6515.0,dc,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,25,0,260.6
169.11755794576578,13202.0,dc,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,29,0,455.2413793103448
140.3721300721582,21342.0,dc,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,627.7058823529412
153.46817907292768,26506.0,dc,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,35,0,757.3142857142857
157.18929343907715,27740.0,dc,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,27,0,1027.4074074074074
183.14655172413794,232.0,denver,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,27,0,8.592592592592593
135.43984962406014,266.0,denver,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,25,0,10.64
333.85446985446987,481.0,denver,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,27,0,17.814814814814813
250.62141491395795,523.0,denver,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,35,0,14.942857142857143
214.4577205882353,1088.0,denver,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,29,0,37.51724137931034
213.4077711357814,4684.0,denver,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,20,0,234.2
192.52183483632749,14083.0,denver,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,38,0,370.60526315789474
173.96627223127612,14113.0,denver,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,30,0,470.43333333333334
166.9181715575621,17720.0,denver,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,32,0,553.75
163.77073692934596,28958.0,denver,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,31,0,934.1290322580645
165.2262895174709,1202.0,montreal,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,35,0,34.34285714285714
119.33007920427335,5429.0,montreal,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,29,0,187.20689655172413
170.18395061728395,1620.0,montreal,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,57.857142857142854
226.7334564481379,3249.0,montreal,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,32,0,101.53125
212.36134745615558,5759.0,montreal,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,30,0,191.96666666666667
161.07378286077358,12591.0,montreal,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,547.4347826086956
163.50106452669505,24424.0,montreal,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,31,0,787.8709677419355
164.100310484834,33496.0,montreal,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,33,0,1015.030303030303
159.3693609966844,39812.0,montreal,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,32,0,1244.125
148.1785879808435,38838.0,montreal,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,26,0,1493.7692307692307
271.5564738292011,363.0,nashville,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,34,0,10.676470588235293
271.67215568862275,668.0,nashville,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,28,0,23.857142857142858
404.4679203539823,904.0,nashville,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,32.285714285714285
330.3458230958231,1628.0,nashville,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,35,0,46.51428571428571
334.73882923449946,2887.0,nashville,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,27,0,106.92592592592592
336.60703287970597,10067.0,nashville,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,437.69565217391306
333.8236237897649,18075.0,nashville,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,30,0,602.5
300.4032137958064,25515.0,nashville,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,750.4411764705883
283.5576337813847,31552.0,nashville,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,31,0,1017.8064516129032
268.61481337982696,30981.0,nashville,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,27,0,1147.4444444444443
238.59116022099448,181.0,quebec,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,35,0,5.171428571428572
129.3718592964824,796.0,quebec,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,29,0,27.448275862068964
144.57142857142858,441.0,quebec,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,28,0,15.75
172.3953488372093,516.0,quebec,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,28,0,18.428571428571427
213.76723498888066,2698.0,quebec,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,32,0,84.3125
160.07944415312008,3814.0,quebec,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,165.82608695652175
174.1228410008071,6195.0,quebec,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,29,0,213.6206896551724
159.5711929064852,9699.0,quebec,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,34,0,285.2647058823529
160.38028169014083,9088.0,quebec,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,33,0,275.3939393939394
150.00621186910703,9015.0,quebec,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,24,0,375.625
244.9626168224299,107.0,sf,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,32,0,3.34375
252.930174563591,1604.0,sf,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,33,0,48.60606060606061
206.3910149750416,601.0,sf,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,25,0,24.04
205.02764227642277,1230.0,sf,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,31,0,39.67741935483871
239.52746037596756,2713.0,sf,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,33,0,82.21212121212122
239.54259235749652,7877.0,sf,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,23,0,342.4782608695652
220.5910040475258,15318.0,sf,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,33,0,464.1818181818182
190.83647964564437,18964.0,sf,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,28,0,677.2857142857143
214.97226488391001,22138.0,sf,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,30,0,737.9333333333333
208.28810922245128,25709.0,sf,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,30,0,856.9666666666667
317.6551724137931,87.0,tc,jul_2018_aug_2018,25,30,30,31,27,35,34,35,32,32,1,32,0,2.71875
216.87552213868003,1197.0,tc,aug_2018_sep_2018,25,28,28,27,25,29,28,29,33,33,2,33,0,36.27272727272727
260.5777202072539,386.0,tc,sep_2018_oct_2018,31,27,27,28,27,28,28,28,25,25,3,25,0,15.44
224.32300163132138,613.0,tc,oct_2018_nov_2018,34,37,35,34,35,32,35,28,31,31,4,31,0,19.774193548387096
195.46766561514195,1268.0,tc,nov_2018_dec_2018,26,26,28,28,29,30,27,32,33,33,5,33,0,38.42424242424242
267.5323943661972,2840.0,tc,jan_2019_feb_2019,21,23,23,25,20,23,23,23,23,22,7,22,0,129.0909090909091
190.24514522821576,6025.0,tc,feb_2019_mar_2019,36,31,31,29,38,31,30,29,33,33,8,33,0,182.57575757575756
193.55044074436827,8168.0,tc,mar_2019_apr_2019,29,34,34,34,30,33,34,34,28,28,9,28,0,291.7142857142857
163.65311142084119,12197.0,tc,apr_2019_may_2019,33,34,34,35,32,32,31,33,30,32,10,32,0,381.15625
161.18230893807356,12967.0,tc,may_2019_jun_2019,31,26,26,27,31,26,27,24,30,28,11,28,0,463.10714285714283
