month,price,nights,unit,trt
2,123.6763372620127,1106,asheville,0
3,141.36778449697636,5462,asheville,0
4,143.6282345234196,9167,asheville,0
5,149.61893093747165,11024,asheville,0
6,157.0277899985335,13638,asheville,0
7,166.75328947368422,16720,asheville,0
8,170.72103315678734,13783,asheville,0
9,164.87678964757708,14528,asheville,0
10,171.68281412253376,19260,asheville,0
11,173.66276943174395,15310,asheville,0
12,176.72479063117044,14687,asheville,0
2,143.82781690140845,2840,boston,0
3,209.2011311417462,14145,boston,0
4,258.7444544634806,16635,boston,0
5,302.5583177570093,21400,boston,0
6,272.7973633535772,27004,boston,0
7,285.41362258157665,27704,boston,1
8,264.1471341417489,26554,boston,1
9,272.4344896848977,23897,boston,1
10,263.4060208570963,24548,boston,1
11,218.11438264097805,15623,boston,1
12,174.70384368537404,14023,boston,1
2,120.30375647668394,3088,chicago,0
3,137.95142885994144,19806,chicago,0
4,164.3696607488135,22756,chicago,0
5,186.73680430879713,36205,chicago,0
6,209.8599885037142,45232,chicago,0
7,203.2125640495393,43521,chicago,0
8,217.97557688285735,43033,chicago,0
9,204.59143152989904,38630,chicago,0
10,207.16579061580748,41474,chicago,0
11,195.87231220329517,28651,chicago,0
12,192.0653340672951,29066,chicago,0
2,121.06815259322761,2333,dc,0
3,169.74258462254275,17194,dc,0
4,186.471600522067,20687,dc,0
5,182.85489446201368,27194,dc,0
6,185.0674372565298,31318,dc,0
7,179.22472791142616,31883,dc,0
8,167.30930001982946,25215,dc,0
9,172.68134763786938,26565,dc,0
10,176.90232347616174,33140,dc,0
11,175.4422988293852,21698,dc,0
12,174.06200762388818,19675,dc,0
2,119.55768446799837,2453,denver,0
3,133.74400798934752,6008,denver,0
4,143.00569077219401,11422,denver,0
5,153.32990952996394,14701,denver,0
6,171.6567118226601,19488,denver,0
7,175.22876381215468,23168,denver,0
8,178.5743575598768,21753,denver,0
9,172.067292275771,21206,denver,0
10,169.93685458767726,20239,denver,0
11,183.976669777363,15002,denver,0
12,190.62355658198615,13423,denver,0
2,116.94095022624434,4420,montreal,0
3,134.11729503291443,20052,montreal,0
4,141.67577201469464,27493,montreal,0
5,171.00743679968056,40071,montreal,0
6,208.2777430586555,44804,montreal,0
7,200.02824360105913,53251,montreal,0
8,214.90476266326857,62783,montreal,0
9,168.06393645419624,46077,montreal,0
10,156.7174996691517,45338,montreal,0
11,145.1368006843456,29225,montreal,0
12,161.45937942153927,30391,montreal,0
2,189.70479233226837,4695,nashville,0
3,249.99821771318892,29176,nashville,0
4,280.96353249858845,30109,nashville,0
5,288.9252158456069,39380,nashville,0
6,299.5670440933849,44253,nashville,0
7,267.82617099148746,48639,nashville,0
8,300.91592456783656,53456,nashville,0
9,313.61232241890144,52652,nashville,0
10,303.72044512663086,65150,nashville,0
11,283.33537933742537,48387,nashville,0
12,243.83738104301486,39405,nashville,0
2,240.65524193548387,1488,ri,0
3,231.87383406971037,2037,ri,0
4,210.80099597778204,5221,ri,0
5,258.5281347473487,8015,ri,0
6,265.3567788898999,10990,ri,0
7,303.0696226180097,16058,ri,0
8,319.4512740147426,17229,ri,0
9,280.33234240414663,13119,ri,0
10,257.9784375518328,12058,ri,0
11,227.51171543037515,8237,ri,0
12,232.77746645037604,6781,ri,0
2,191.47590055809235,1971,sf,0
3,210.90921551237605,12403,sf,0
4,212.25471628319895,13517,sf,0
5,211.2440801457195,16470,sf,0
6,221.01183231913456,17748,sf,0
7,226.85720800319217,17543,sf,0
8,230.16249757611016,20628,sf,0
9,234.00614754098362,20496,sf,0
10,221.53035679085355,20292,sf,0
11,256.04743747897277,17834,sf,0
12,225.5747254792481,16119,sf,0
2,102.8212962962963,1080,tc,0
3,230.4924787442773,9174,tc,0
4,259.07811531308124,11291,tc,0
5,220.64802089059924,14552,tc,0
6,215.04979209979209,19240,tc,0
7,203.78973852520693,21264,tc,0
8,200.73099073533095,23962,tc,0
9,214.2142574928035,17717,tc,0
10,212.3821753118474,17717,tc,0
11,221.79304842514222,14414,tc,0
12,229.800078125,12800,tc,0
